G.,Opp,Tier,Cmp,Att,Cmp%,Yds,AY.A,TD,TD%,Int,Int%,Rate,R.Atts,R.Yds,R.Avg,R.TDs,Throwing,Rushing
1,HOU,6,28,51,54.9,332,5.0,3,5.9,3,5.9,70.1,1,-2,-2.0,0,D,F
2,DEN,1,14,33,42.4,118,1.4,1,3.0,2,6.1,37.2,2,21,10.5,0,F,D
3,ARI,2,22,34,64.7,219,4.4,1,2.9,2,5.9,68.1,6,27,4.5,0,F,C
4,CIN,2,17,24,70.8,204,8.5,0,0.0,0,0.0,96.5,8,36,4.5,1,B,B
5,TEN,3,23,33,69.7,273,7.5,1,3.0,1,3.0,92.1,7,28,4.0,1,B,C
6,MIA,3,25,41,61.0,319,8.3,1,2.4,0,0.0,93.4,2,11,5.5,0,B,F
7,SEA,4,32,54,59.3,238,3.9,1,1.9,1,1.9,68.3,3,11,3.7,0,D,F
8,BUF,1,15,26,57.7,118,4.5,0,0.0,0,0.0,69.1,3,4,1.3,0,D,F
9,IND,3,16,35,45.7,162,4.6,0,0.0,0,0.0,59.5,5,33,6.6,0,F,C
10,SFO,2,16,25,64.0,158,6.3,0,0.0,0,0.0,81.7,3,23,7.7,0,D,D
11,ATL,6,23,42,54.8,228,4.8,1,2.4,1,2.4,68.4,5,39,7.8,0,F,B
12,LAR,1,16,28,57.1,145,5.2,0,0.0,0,0.0,71.3,4,10,2.5,0,D,F
13,TEN,3,24,40,60.0,221,1.0,0,0.0,4,10.0,35.5,1,2,2.0,0,F,F
14,HOU,6,22,38,57.9,210,5.5,0,0.0,0,0.0,73.4,5,21,4.2,0,F,D
15,NYJ,6,26,39,66.7,280,7.2,0,0.0,0,0.0,87.6,6,37,6.2,0,C,B
16,NWE,1,17,27,63.0,193,2.9,1,3.7,3,11.1,57.1,2,16,8.0,0,D,F
17,IND,3,23,32,71.9,223,8.2,2,6.2,0,0.0,111.8,10,17,1.7,0,A,F
17 Games,Total/Avg,3.1,359,602,60.1,3641,5.2,12,1.8,17,2.7,73.0,73,334,4.6,2,,
