Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2020-09-13,1,1,25.152,CLE,@,BAL,L 6-38,*,21,39,53.85,189,1,1,65.0,2,21,4.85,4.21,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,
2,2020-09-17,2,2,25.156,CLE,,CIN,W 35-30,*,16,23,69.57,219,2,1,110.6,0,0,9.52,9.30,3,5,1.67,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,58,100%,0,0%,0,0%,
3,2020-09-27,3,3,25.166,CLE,,WAS,W 34-20,*,16,23,69.57,156,2,0,117.3,2,14,6.78,8.52,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,
4,2020-10-04,4,4,25.173,CLE,@,DAL,W 49-38,*,19,30,63.33,165,2,0,100.0,2,1,5.50,6.83,3,6,2.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,75,99%,0,0%,0,0%,
5,2020-10-11,5,5,25.180,CLE,,IND,W 32-23,*,21,37,56.76,247,2,2,72.7,1,4,6.68,5.32,2,17,8.50,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,73,100%,0,0%,0,0%,
6,2020-10-18,6,6,25.187,CLE,@,PIT,L 7-38,*,10,18,55.56,119,1,2,54.9,4,20,6.61,2.72,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,42,74%,0,0%,0,0%,
7,2020-10-25,7,7,25.194,CLE,@,CIN,W 37-34,*,22,28,78.57,297,5,1,135.6,0,0,10.61,12.57,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,52,100%,0,0%,0,0%,
8,2020-11-01,8,8,25.201,CLE,,LVR,L 6-16,*,12,25,48.00,122,0,0,62.4,0,0,4.88,4.88,6,29,4.83,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,49,100%,0,0%,0,0%,
9,2020-11-15,9,10,25.215,CLE,,HOU,W 10-7,*,12,20,60.00,132,0,0,79.6,1,7,6.60,6.60,3,1,0.33,0,0,0,0,,0,0.0%,,0,0,0,0,0,1,0,0,65,100%,0,0%,0,0%,
10,2020-11-22,10,11,25.222,CLE,,PHI,W 22-17,*,12,22,54.55,204,0,0,86.2,3,17,9.27,9.27,6,9,1.50,0,0,0,0,,0,0.0%,,0,0,2,1,0,0,-6,0,67,100%,0,0%,0,0%,
11,2020-11-29,11,12,25.229,CLE,@,JAX,W 27-25,*,19,29,65.52,258,2,0,116.7,2,6,8.90,10.28,4,1,0.25,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
12,2020-12-06,12,13,25.236,CLE,@,TEN,W 41-35,*,25,33,75.76,334,4,0,147.0,0,0,10.12,12.55,4,5,1.25,0,1,1,6,6.00,0,100.0%,6.00,0,0,1,1,0,0,0,0,72,99%,0,0%,0,0%,
13,2020-12-14,13,14,25.244,CLE,,BAL,L 42-47,*,28,47,59.57,343,2,1,87.5,0,0,7.30,7.19,5,23,4.60,1,0,0,0,,0,0.0%,,1,6,1,0,0,0,-9,0,83,99%,0,0%,0,0%,
14,2020-12-20,14,15,25.250,CLE,@,NYG,W 20-6,*,27,32,84.38,297,2,0,126.2,1,11,9.28,10.53,4,11,2.75,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,
15,2020-12-27,15,16,25.257,CLE,@,NYJ,L 16-23,*,28,53,52.83,285,0,0,68.5,4,31,5.38,5.38,3,6,2.00,0,0,0,0,,0,0.0%,,0,0,3,2,0,0,0,0,81,100%,0,0%,0,0%,
16,2021-01-03,16,17,25.264,CLE,,PIT,W 24-22,*,17,27,62.96,196,1,0,97.1,4,30,7.26,8.00,6,44,7.33,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,
,16 Games,,,,,,,11-5-0,,305,486,62.76,3563,26,8,95.9,26,162,7.33,7.66,54,165,3.06,1,1,1,6,6.00,0,100.0%,6.00,1,6,8,4,0,2,-15,0,,,,,,,
